"Status","Name","DisplayName"
"Stopped","AarSvc_29f60a77","Agent Activation Runtime_29f60a77"
"Stopped","AJRouter","Service de routeur AllJoyn"
"Stopped","ALG","Service de la passerelle de la couche Application"
"Stopped","AppIDSvc","Identit? de l?application"
"Stopped","AppMgmt","Gestion d?applications"
"Stopped","AppReadiness","Pr?paration des applications"
"Stopped","AppVClient","Microsoft App-V Client"
"Stopped","AssignedAccessManagerSvc","Service AssignedAccessManager"
"Stopped","autotimesvc","Heure cellulaire"
"Stopped","AxInstSV","Programme d?installation ActiveX (AxInstSV)"
"Stopped","BcastDVRUserService_29f60a77","Service utilisateur de diffusion et GameDVR_29f60a77"
"Stopped","BDESVC","Service de chiffrement de lecteur BitLocker"
"Stopped","BITS","Service de transfert intelligent en arri?re-plan"
"Stopped","BluetoothUserService_29f60a77","Service de support des utilisateurs du Bluetooth_29f60a77"
"Stopped","BTAGService","Service de passerelle audio Bluetooth"
"Stopped","BthAvctpSvc","Service AVCTP"
"Stopped","CaptureService_29f60a77","CaptureService_29f60a77"
"Stopped","CertPropSvc","Propagation du certificat"
"Stopped","ClipSVC","Service de licences de client (ClipSVC)"
"Stopped","CloudBackupRestoreSvc_29f60a77","Service de restauration et de sauvegarde dans le cloud_29f60a77"
"Stopped","cloudidsvc","Service d?identit? de Microsoft Cloud"
"Stopped","COMSysApp","Application syst?me COM+"
"Stopped","ConsentUxUserSvc_29f60a77","Service utilisateur ConsentUX_29f60a77"
"Stopped","CredentialEnrollmentManagerUserSvc_29f60a77","CredentialEnrollmentManagerUserSvc_29f60a77"
"Stopped","dcsvc","Service de configuration (DC) d?clar?"
"Stopped","defragsvc","Optimiser les lecteurs"
"Stopped","DeviceAssociationBrokerSvc_29f60a77","DeviceAssociationBroker_29f60a77"
"Stopped","DeviceInstall","Service d?installation de p?riph?rique"
"Stopped","DevicePickerUserSvc_29f60a77","DevicePicker_29f60a77"
"Stopped","diagnosticshub.standardcollector.service","Service Collecteur standard du concentrateur de diagnostic Microsoft (R)"
"Stopped","diagsvc","Diagnostic Execution Service"
"Stopped","DialogBlockingService","DialogBlockingService"
"Stopped","DmEnrollmentSvc","Service d'inscription de la gestion des p?riph?riques"
"Stopped","dmwappushservice","Service de routage de messages Push du protocole WAP (Wireless Application Protocol) de gestion des appareils"
"Stopped","dot3svc","Configuration automatique de r?seau c?bl?"
"Stopped","DsmSvc","Gestionnaire d?installation de p?riph?rique"
"Stopped","EapHost","Protocole EAP (Extensible Authentication Protocol)"
"Stopped","edgeupdate","Microsoft Edge Update Service (edgeupdate)"
"Stopped","edgeupdatem","Microsoft Edge Update Service (edgeupdatem)"
"Stopped","embeddedmode","Mode incorpor?"
"Stopped","EntAppSvc","Service de gestion des applications d'entreprise"
"Stopped","Fax","T?l?copie"
"Stopped","fdPHost","H?te du fournisseur de d?couverte de fonctions"
"Stopped","FDResPub","Publication des ressources de d?couverte de fonctions"
"Stopped","fhsvc","Service d?historique des fichiers"
"Stopped","FrameServer","Serveur de trame de la Cam?ra Windows"
"Stopped","FrameServerMonitor","Moniteur de serveur de trame Cam?ra Windows"
"Stopped","FusionInventory-Agent","FusionInventory Agent"
"Stopped","GameInputSvc","GameInput Service"
"Stopped","GoogleChromeElevationService","Google Chrome Elevation Service (GoogleChromeElevationService)"
"Stopped","GoogleUpdaterInternalService132.0.6833.0","Service interne de mise ? jour Google (GoogleUpdaterInternalService132.0.6833.0)"
"Stopped","GoogleUpdaterService132.0.6833.0","Service de mise ? jour Google (GoogleUpdaterService132.0.6833.0)"
"Stopped","GraphicsPerfSvc","GraphicsPerfSvc"
"Stopped","gupdate","Service Google Update (gupdate)"
"Stopped","gupdatem","Service Google Update (gupdatem)"
"Stopped","HvHost","Service d'h?te HV"
"Stopped","icssvc","Service Point d'acc?s sans fil mobile Windows"
"Stopped","IpxlatCfgSvc","Service de configuration de conversion IP"
"Stopped","KtmRm","Service KtmRm pour Distributed Transaction Coordinator"
"Stopped","lltdsvc","Mappage de d?couverte de topologie de la couche de liaison"
"Stopped","LxpSvc","Service d'exp?rience linguistique"
"Stopped","MapsBroker","Gestionnaire des cartes t?l?charg?es"
"Stopped","McpManagementService","McpManagementService"
"Stopped","MessagingService_29f60a77","MessagingService_29f60a77"
"Stopped","MicrosoftEdgeElevationService","Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)"
"Stopped","MixedRealityOpenXRSvc","Service Windows Mixed Reality OpenXR"
"Stopped","MozillaMaintenance","Mozilla Maintenance Service"
"Stopped","MSDTC","Coordinateur de transactions distribu?es"
"Stopped","MSiSCSI","Service Initiateur iSCSI de Microsoft"
"Stopped","msiserver","Windows Installer"
"Stopped","MsKeyboardFilter","Filtre clavier Microsoft"
"Stopped","NaturalAuthentication","Authentification naturelle"
"Stopped","NcaSvc","Assistant Connectivit? r?seau"
"Stopped","NcdAutoSetup","Configuration automatique des p?riph?riques connect?s au r?seau"
"Stopped","NetTcpPortSharing","Service de partage de ports Net.Tcp"
"Stopped","NgcCtnrSvc","Conteneur Microsoft Passport"
"Stopped","NgcSvc","Microsoft Passport"
"Stopped","NlaSvc","Connaissance des emplacements r?seau"
"Stopped","ose","Office  Source Engine"
"Stopped","p2pimsvc","Identity Manager r?seau homologue"
"Stopped","p2psvc","Groupement de mise en r?seau de pairs"
"Stopped","P9RdrService_29f60a77","P9RdrService_29f60a77"
"Stopped","PeerDistSvc","BranchCache"
"Stopped","PenService_29f60a77","PenService_29f60a77"
"Stopped","perceptionsimulation","Service de simulation de perception Windows"
"Stopped","PerfHost","H?te de DLL de compteur de performance"
"Stopped","PhoneSvc","Service t?l?phonique"
"Stopped","PimIndexMaintenanceSvc_29f60a77","Donn?es de contacts_29f60a77"
"Stopped","pla","Journaux & alertes de performance"
"Stopped","PNRPAutoReg","Service de publication des noms d?ordinateurs PNRP"
"Stopped","PNRPsvc","Protocole PNRP"
"Stopped","PrintNotify","Extensions et notifications d?imprimante"
"Stopped","PrintWorkflowUserSvc_29f60a77","PrintWorkflow_29f60a77"
"Stopped","PushToInstall","Service PushToInstall de Windows"
"Stopped","QWAVE","Exp?rience audio-vid?o haute qualit? Windows"
"Stopped","RasAuto","Gestionnaire des connexions automatiques d?acc?s ? distance"
"Stopped","RemoteAccess","Routage et acc?s distant"
"Stopped","RemoteRegistry","Registre ? distance"
"Stopped","RetailDemo","Service de d?mo du magasin"
"Stopped","RpcLocator","Localisateur d?appels de proc?dure distante (RPC)"
"Stopped","SCardSvr","Carte ? puce"
"Stopped","ScDeviceEnum","Service d??num?ration de p?riph?riques de carte ? puce"
"Stopped","SCPolicySvc","Strat?gie de retrait de la carte ? puce"
"Stopped","SDRSVC","Sauvegarde Windows"
"Stopped","seclogon","Ouverture de session secondaire"
"Stopped","SEMgrSvc","Gestionnaires des paiements et des ?l?ments s?curis?s NFC"
"Stopped","Sense","Service Protection avanc?e contre les menaces Windows Defender"
"Stopped","SensorDataService","Service Donn?es de capteur"
"Stopped","SensorService","Service de capteur"
"Stopped","SensrSvc","Service de surveillance des capteurs"
"Stopped","SessionEnv","Configuration des services Bureau ? distance"
"Stopped","SgrmBroker","Service Broker du moniteur d'ex?cution System Guard"
"Stopped","SharedAccess","Partage de connexion Internet (ICS)"
"Stopped","SharedRealitySvc","Service de donn?es spatiales"
"Stopped","shpamsvc","Shared PC Account Manager"
"Stopped","smphost","SMP de l?Espace de stockages Microsoft"
"Stopped","SmsRouter","Service Routeur SMS Microsoft Windows."
"Stopped","SNMPTrap","Interruption SNMP"
"Stopped","spectrum","Service de perception Windows"
"Stopped","sppsvc","Protection logicielle"
"Stopped","SQLBrowser","SQL Server Browser"
"Stopped","SQLSERVERAGENT","SQL Server Agent (MSSQLSERVER)"
"Stopped","ssh-agent","OpenSSH Authentication Agent"
"Stopped","StiSvc","Acquisition d?image Windows (WIA)"
"Stopped","svsvc","V?rificateur de points"
"Stopped","swprv","Fournisseur de clich? instantan? de logiciel Microsoft"
"Stopped","TapiSrv","T?l?phonie"
"Stopped","TermService","Services Bureau ? distance"
"Stopped","TieringEngineService","Gestion des niveaux de stockage"
"Stopped","TroubleshootingSvc","Service de r?solution des probl?mes recommand?"
"Stopped","TrustedInstaller","Programme d?installation pour les modules Windows"
"Stopped","tzautoupdate","Programme de mise ? jour automatique du fuseau horaire"
"Stopped","UevAgentService","Service User Experience Virtualization"
"Stopped","UmRdpService","Redirecteur de port du mode utilisateur des services Bureau ? distance"
"Stopped","UnistoreSvc_29f60a77","Stockage des donn?es utilisateur_29f60a77"
"Stopped","upnphost","H?te de p?riph?rique UPnP"
"Stopped","UserDataSvc_29f60a77","Acc?s aux donn?es utilisateur_29f60a77"
"Stopped","VacSvc","Service de composition audio volum?trique"
"Stopped","VBoxSDS","VirtualBox system service"
"Stopped","vds","Disque virtuel"
"Stopped","vmicguestinterface","Interface de services d?invit? Hyper-V"
"Stopped","vmicheartbeat","Service Pulsation Microsoft Hyper-V"
"Stopped","vmickvpexchange","Service ?change de donn?es Microsoft Hyper-V"
"Stopped","vmicrdv","Service de virtualisation Bureau ? distance Hyper-V"
"Stopped","vmicshutdown","Service Arr?t de l?invit? Microsoft Hyper-V"
"Stopped","vmictimesync","Service Synchronisation date/heure Microsoft Hyper-V"
"Stopped","vmicvmsession","Service Hyper-V PowerShell Direct"
"Stopped","vmicvss","Requ?te du service VSS Hyper-V"
"Stopped","VSS","Clich? instantan? des volumes"
"Stopped","VSStandardCollectorService150","Visual Studio Standard Collector Service 150"
"Stopped","WaaSMedicSvc","WaaSMedicSvc"
"Stopped","WalletService","WalletService"
"Stopped","WarpJITSvc","Warp JIT Service"
"Stopped","wbengine","Service de moteur de sauvegarde en mode bloc"
"Stopped","WbioSrvc","Service de biom?trie Windows"
"Stopped","WebClient","WebClient"
"Stopped","Wecsvc","Collecteur d??v?nements de Windows"
"Stopped","WEPHOSTSVC","Service h?te du fournisseur de chiffrement Windows"
"Stopped","wercplsupport","Prise en charge du Panneau de configuration Rapports de probl?mes"
"Stopped","WerSvc","Service de rapport d?erreurs Windows"
"Stopped","WFDSConMgrSvc","Service Wi-Fi Direct Service de gestionnaire de connexions"
"Stopped","WiaRpc","?v?nements d?acquisition d?images fixes"
"Stopped","WinRM","Gestion ? distance de Windows (Gestion WSM)"
"Stopped","wisvc","Service Windows Insider"
"Stopped","WlanSvc","Service de configuration automatique WLAN"
"Stopped","wlidsvc","Assistant Connexion avec un compte Microsoft"
"Stopped","wlpasvc","Service de l?Assistant de profil local"
"Stopped","WManSvc","Service de gestion de Windows"
"Stopped","wmiApSrv","Carte de performance WMI"
"Stopped","WMPNetworkSvc","Service de partage r?seau du Lecteur multim?dia Windows"
"Stopped","workfolderssvc","Dossiers de travail"
"Stopped","WpcMonSvc","Contr?le parental"
"Stopped","WPDBusEnum","Service ?num?rateur d?appareil mobile"
"Stopped","wuauserv","Windows Update"
"Stopped","WwanSvc","Service de configuration automatique WWAN"
"Stopped","XblAuthManager","Gestionnaire d'authentification Xbox Live"
"Stopped","XblGameSave","Jeu sauvegard? sur Xbox Live"
"Stopped","XboxGipSvc","Xbox Accessory Management Service"
"Stopped","XboxNetApiSvc","Service de mise en r?seau Xbox Live"
